RecordNo,Q43,Q46,Q17,Zip,Q37
"7,267",1,2,2,23605,2
"7,271",1,2,4,23502,1
"10,023",3,2,2,23704,2
"10,065",2,2,4,23321,2
"10,071",1,2,1,23321,1
"10,077",2,2,2,23464,2
"10,108",1,2,4,23434,1
"10,129",2,2,4,23434,2
"10,156",3,1,5,23456,1
"10,180",1,2,3,23464,2
"10,226",3,2,2,23453,1
"10,251",1,2,3,23606,2
"10,276",2,2,3,23704,1
"10,297",1,2,1,23606,1
"10,342",2,2,3,23666,1
"10,351",2,2,2,23321,1
"10,373",2,2,2,23669,1
"10,409",4,1,2,23669,2
"10,412",2,2,5,23602,1
"10,444",4,1,2,23704,3
"10,468",1,2,3,23464,1
"10,502",2,2,3,23322,1
"10,509",4,2,2,23704,3
"10,544",2,2,4,23703,1
"10,595",2,2,3,23434,1
"10,602",2,2,3,23452,2
"10,606",1,2,3,23607,2
"10,616",3,2,3,23436,3
"10,639",2,2,3,23701,2
"10,668",2,2,2,23320,2
"10,680",2,2,3,23324,2
"10,685",2,2,5,23523,4
"10,698",2,2,1,23702,3
"10,717",1,2,2,23455,1
"10,731",1,2,5,23504,1
"10,738",2,2,2,23513,1
"10,769",1,2,3,23661,2
"10,772",1,2,3,23322,1
"10,776",2,2,2,23666,3
"10,781",2,2,3,23664,2
"10,809",2,2,2,23464,1
"10,811",2,2,88,23591,2
"10,813",1,2,2,23454,2
"10,822",2,2,2,23464,1
"10,836",4,1,2,23464,3
"10,840",2,2,2,23464,3
"10,845",1,2,1,23510,1
"10,848",1,2,4,23503,2
"10,869",2,2,1,23602,3
"10,881",2,2,3,23322,1
"10,890",2,2,2,23462,2
"10,900",1,2,4,23464,2
"10,958",1,2,2,23456,1
"10,974",3,2,3,23607,2
"10,975",2,2,3,23323,2
"11,006",2,2,3,23608,2
"11,015",2,2,2,23453,3
"11,039",3,2,3,23456,2
"11,065",2,2,1,23606,1
"11,069",2,2,3,23707,2
"11,073",3,2,2,23324,3
"11,083",2,2,4,99999,3
"11,114",2,2,1,23669,1
"11,132",1,2,2,23453,1
"11,135",2,2,3,23664,1
"11,146",2,2,2,23601,2
"11,150",1,2,4,23669,2
"11,160",2,2,2,23464,1
"11,184",2,1,2,23503,2
"11,194",2,2,3,23435,2
"11,240",2,2,3,23462,2
"11,247",1,1,2,23504,1
"11,248",2,2,1,23455,1
"11,256",2,2,1,23321,1
"11,267",2,2,3,23608,2
"11,272",1,2,2,23455,1
"11,278",1,2,2,23322,1
"11,282",1,2,3,23509,2
"11,347",2,2,4,23707,2
"11,350",4,2,2,23451,1
"11,374",2,2,2,23703,2
"11,378",2,2,2,23606,1
"11,445",4,1,2,23661,4
"11,463",1,2,3,23601,1
"11,479",2,2,2,23701,2
"11,490",1,2,4,23707,3
"11,491",1,2,4,23320,1
"11,511",2,2,1,23456,1
"11,529",2,2,2,23504,2
"11,532",2,2,3,23518,3
"11,547",1,2,2,99999,2
"11,556",3,2,1,23452,1
"11,559",2,2,3,23322,2
"11,582",1,2,3,23661,1
"11,598",2,1,3,23601,2
"11,626",2,2,1,23434,3
"11,629",2,2,3,23456,2
"11,642",2,2,3,23322,2
"11,647",3,2,4,23511,3
"11,651",2,2,2,23518,1
"11,660",2,2,3,23452,2
"11,671",2,2,3,23701,3
"11,705",1,2,3,23455,2
"11,714",2,2,4,23606,3
"11,770",1,2,3,23663,2
"11,781",2,2,1,23602,3
"11,802",2,2,2,23513,2
"11,819",1,2,2,23602,1
"11,822",2,2,1,23502,2
"11,829",1,2,3,23456,2
"11,843",1,2,3,23462,3
"11,857",1,2,3,23503,2
"11,870",1,2,3,23669,1
"11,889",2,2,3,23502,1
"11,899",2,2,1,23518,2
"11,962",2,2,1,23608,2
"11,975",3,2,1,23603,1
"11,991",1,2,2,23507,2
