RecordNo,Q43,Q46,Q17,Zip,Q37,Q56,Q8A,Q53,Q58,Q2,FIPS,Q8B
"4,179",1,2,1,23321,1,5,,1,,2,Portsmouth,
"4,180",1,2,1,23661,2,2,,1,5,1,Hampton,
"4,193",2,2,1,23434,1,1,4,1,11,1,Suffolk,2
"4,195",1,2,3,23454,2,2,,1,3,1,Virginia Beach,
"4,205",1,2,3,23456,1,2,,2,11,1,Virginia Beach,
"4,225",2,1,2,23451,2,3,,1,,1,Virginia Beach,
"4,232",2,2,2,23456,1,1,,2,4,1,Virginia Beach,
"4,235",1,2,4,23322,2,1,,1,11,1,Chesapeake,
"4,243",1,2,4,23503,1,1,,3,8,1,Virginia Beach,
"4,249",2,2,2,23321,1,5,,1,,1,Chesapeake,
"4,263",1,2,3,23320,2,1,,2,11,1,Chesapeake,
"4,287",2,2,2,23322,1,1,,1,9,1,Chesapeake,
"4,302",1,2,5,23669,1,4,,2,,2,Hampton,
"4,315",2,2,2,23320,3,1,3,1,9,1,Chesapeake,2
"4,328",1,2,4,23322,1,1,,1,10,1,Chesapeake,
"4,345",1,2,2,23455,1,5,,1,,1,Virginia Beach,
"4,350",2,2,2,23703,3,2,,2,4,1,Portsmouth,
"4,358",1,2,5,23323,2,1,1,2,6,1,Chesapeake,1
"4,387",1,2,3,23504,1,5,,1,,1,Norfolk,
"4,396",2,2,2,23456,1,2,1,1,11,1,Virginia Beach,1
"4,409",2,2,2,23464,2,1,1,2,5,1,Virginia Beach,2
"4,412",1,2,2,23435,1,5,,1,,1,Suffolk,
"4,427",1,2,88,23324,1,5,,1,,1,Chesapeake,
"4,436",1,2,3,23434,1,1,,1,11,2,Suffolk,
"4,456",2,2,1,23701,2,5,,2,,1,Chesapeake,
"4,462",1,2,3,23503,2,1,2,1,7,1,Norfolk,2
"4,482",1,2,1,23503,2,5,,1,,1,Norfolk,
"4,493",3,2,1,23601,4,2,,2,2,2,Newport News,
"4,496",2,2,2,23320,2,5,,2,,1,Chesapeake,
"4,503",1,2,3,23462,2,2,,1,5,1,Virginia Beach,
"4,509",1,2,1,23454,1,1,,1,11,1,Virginia Beach,
"4,518",1,2,2,23508,2,1,,1,9,1,Norfolk,
"4,532",2,2,4,23456,1,1,3,1,11,1,Virginia Beach,2
"4,544",1,2,3,23456,1,2,1,1,7,1,Virginia Beach,1
"4,581",2,2,3,23690,2,2,,2,2,1,Newport News,
"4,587",1,2,2,23321,1,1,1,1,9,1,Chesapeake,1
"4,590",2,2,3,23664,1,2,,1,7,1,Hampton,
"4,605",2,2,3,23323,1,2,,1,7,1,Portsmouth,
"4,639",4,2,2,23505,2,1,,2,2,1,Virginia Beach,
"4,646",2,2,2,23322,1,1,1,1,6,1,Chesapeake,1
