RecordNo,Q43,Q46,Q17,Zip
"6,448",1,2,3,23703
"6,483",3,2,5,23666
"6,486",2,2,2,23455
"6,505",1,2,2,23325
"6,539",2,2,4,23454
"6,542",3,2,2,23321
"6,545",1,2,3,23464
"6,554",1,2,2,23669
"6,559",4,2,1,23462
"6,567",1,2,3,23518
"6,577",2,2,1,23321
"6,587",1,2,2,23606
"6,588",1,2,3,23606
"6,591",2,2,3,23322
"6,596",1,2,2,23322
"6,601",2,2,3,23664
"6,629",1,2,1,23320
"6,645",1,1,3,23666
"6,664",1,2,1,23669
"6,683",1,2,2,23451
"6,689",2,2,1,23702
"6,707",1,2,3,23452
"6,711",2,2,1,23703
"6,713",1,2,1,23322
"6,733",2,2,3,23434
"6,779",2,2,3,23456
"6,818",2,2,3,23704
"6,820",1,2,2,23323
"6,824",2,2,3,23602
"6,834",1,2,1,23454
"6,845",2,2,3,23322
"6,847",1,2,1,23464
"6,852",2,2,1,23322
"6,853",1,2,3,23462
"6,867",2,2,2,23323
"6,894",1,2,1,23324
"6,913",2,2,2,23504
"6,924",2,2,3,23452
"6,929",2,2,2,23456
"6,959",2,2,1,23666
"6,966",1,2,2,23704
"6,990",4,2,3,23464
"7,015",1,2,2,23322
"7,033",2,2,2,23608
"7,072",2,2,2,23434
"7,094",2,2,3,23451
"7,117",2,2,2,23505
"7,125",1,2,3,23456
"7,129",1,2,2,23322
"7,137",1,2,5,23513
"7,181",2,2,3,23462
"7,186",1,2,1,23455
"7,222",1,2,3,23455
"7,250",1,2,3,23505
"7,255",2,1,3,23608
"7,267",1,2,2,23605
"7,271",1,2,4,23502
"10,023",3,2,2,23704
"10,065",2,2,4,23321
"10,071",1,2,1,23321
"10,077",2,2,2,23464
"10,108",1,2,4,23434
"10,129",2,2,4,23434
"10,156",3,1,5,23456
"10,180",1,2,3,23464
"10,226",3,2,2,23453
"10,251",1,2,3,23606
"10,276",2,2,3,23704
"10,297",1,2,1,23606
"10,342",2,2,3,23666
"10,351",2,2,2,23321
"10,373",2,2,2,23669
"10,409",4,1,2,23669
"10,412",2,2,5,23602
"10,444",4,1,2,23704
"10,468",1,2,3,23464
"10,502",2,2,3,23322
"10,509",4,2,2,23704
"10,544",2,2,4,23703
"10,595",2,2,3,23434
"10,602",2,2,3,23452
"10,606",1,2,3,23607
"10,616",3,2,3,23436
"10,639",2,2,3,23701
"10,668",2,2,2,23320
"10,680",2,2,3,23324
"10,685",2,2,5,23523
"10,698",2,2,1,23702
"10,717",1,2,2,23455
"10,731",1,2,5,23504
"10,738",2,2,2,23513
"10,769",1,2,3,23661
"10,772",1,2,3,23322
"10,776",2,2,2,23666
"10,781",2,2,3,23664
"10,809",2,2,2,23464
"10,811",2,2,88,23591
"10,813",1,2,2,23454
"10,822",2,2,2,23464
"10,836",4,1,2,23464
"10,840",2,2,2,23464
"10,845",1,2,1,23510
"10,848",1,2,4,23503
"10,869",2,2,1,23602
"10,881",2,2,3,23322
"10,890",2,2,2,23462
"10,900",1,2,4,23464
"10,958",1,2,2,23456
"10,974",3,2,3,23607
"10,975",2,2,3,23323
"11,006",2,2,3,23608
"11,015",2,2,2,23453
"11,039",3,2,3,23456
"11,065",2,2,1,23606
"11,069",2,2,3,23707
"11,073",3,2,2,23324
"11,083",2,2,4,99999
"11,114",2,2,1,23669
"11,132",1,2,2,23453
"11,135",2,2,3,23664
"11,146",2,2,2,23601
"11,150",1,2,4,23669
"11,160",2,2,2,23464
"11,184",2,1,2,23503
"11,194",2,2,3,23435
"11,240",2,2,3,23462
"11,247",1,1,2,23504
"11,248",2,2,1,23455
"11,256",2,2,1,23321
"11,267",2,2,3,23608
"11,272",1,2,2,23455
"11,278",1,2,2,23322
"11,282",1,2,3,23509
"11,347",2,2,4,23707
"11,350",4,2,2,23451
"11,374",2,2,2,23703
"11,378",2,2,2,23606
"11,445",4,1,2,23661
"11,463",1,2,3,23601
"11,479",2,2,2,23701
"11,490",1,2,4,23707
"11,491",1,2,4,23320
"11,511",2,2,1,23456
"11,529",2,2,2,23504
"11,532",2,2,3,23518
"11,547",1,2,2,99999
"11,556",3,2,1,23452
"11,559",2,2,3,23322
"11,582",1,2,3,23661
"11,598",2,1,3,23601
"11,626",2,2,1,23434
"11,629",2,2,3,23456
"11,642",2,2,3,23322
"11,647",3,2,4,23511
"11,651",2,2,2,23518
"11,660",2,2,3,23452
"11,671",2,2,3,23701
"11,705",1,2,3,23455
"11,714",2,2,4,23606
"11,770",1,2,3,23663
"11,781",2,2,1,23602
"11,802",2,2,2,23513
"11,819",1,2,2,23602
"11,822",2,2,1,23502
"11,829",1,2,3,23456
"11,843",1,2,3,23462
"11,857",1,2,3,23503
"11,870",1,2,3,23669
"11,889",2,2,3,23502
"11,899",2,2,1,23518
"11,962",2,2,1,23608
"11,975",3,2,1,23603
"11,991",1,2,2,23507
